epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,2175.97,0.96492,0.97988,1.19188,0.67762,0.57614,0.60137,0.44031,1.56637,1.95318,1.69731,0.00055188,0.00055188,0.00055188
64,2208.74,0.91874,0.95359,1.19743,0.74438,0.55088,0.59235,0.45881,1.63936,2.09655,1.78324,0.000537733,0.000537733,0.000537733
65,2239.86,0.91788,0.95306,1.21095,0.77967,0.51754,0.57916,0.40854,1.76637,2.05344,1.84323,0.000523586,0.000523586,0.000523586
66,2272.72,0.90635,0.9644,1.19963,0.73717,0.51754,0.56972,0.41645,1.8076,2.02703,1.90873,0.000509438,0.000509438,0.000509438
67,2306.86,0.96055,1.00156,1.21018,0.7117,0.51754,0.56604,0.39468,1.81732,1.96529,1.97208,0.000495291,0.000495291,0.000495291
68,2337.62,0.87807,0.91926,1.16785,0.75837,0.53509,0.57173,0.39828,1.87769,1.99391,2.06174,0.000481144,0.000481144,0.000481144
69,2370.98,0.87339,0.90343,1.14032,0.75929,0.53509,0.58855,0.39921,1.90826,2.04742,2.02309,0.000466997,0.000466997,0.000466997
70,2403.7,0.89981,0.90453,1.17271,0.7114,0.51754,0.57489,0.40252,1.96544,2.14922,2.04298,0.00045285,0.00045285,0.00045285
71,2437.73,0.83113,0.86831,1.14099,0.84314,0.51754,0.57097,0.39117,1.9433,2.2057,2.0207,0.000438703,0.000438703,0.000438703
72,2469.69,0.87972,0.95563,1.18555,0.86858,0.55088,0.59478,0.42537,1.77829,2.18313,1.89169,0.000424556,0.000424556,0.000424556
73,2501.71,0.82065,0.86589,1.13255,0.73704,0.55088,0.60033,0.42723,1.8126,2.15695,1.93188,0.000410409,0.000410409,0.000410409
74,2533.82,0.85193,0.86333,1.14865,0.69723,0.55088,0.57474,0.42194,1.84699,2.12595,1.96351,0.000396262,0.000396262,0.000396262
75,2565.44,0.86395,0.92568,1.16072,0.69834,0.51754,0.54171,0.4079,2.00421,2.09847,2.12189,0.000382115,0.000382115,0.000382115
76,2596.35,0.81173,0.8404,1.11621,0.71383,0.55088,0.5783,0.39202,1.9638,2.1938,2.0855,0.000367967,0.000367967,0.000367967
77,2629.91,0.82933,0.86177,1.13725,0.68833,0.55088,0.57996,0.39907,1.83122,2.17414,1.95014,0.00035382,0.00035382,0.00035382
78,2661.62,0.83728,0.85702,1.14165,0.66564,0.5444,0.58229,0.4226,1.79241,2.22229,1.93123,0.000339673,0.000339673,0.000339673
79,2693.29,0.80068,0.85157,1.1232,0.675,0.5156,0.57838,0.40162,1.82709,2.23024,1.96306,0.000325526,0.000325526,0.000325526
80,2724.76,0.78995,0.81758,1.1101,0.68712,0.51754,0.58135,0.40602,1.80977,2.1983,1.96563,0.000311379,0.000311379,0.000311379
81,2756.46,0.79079,0.82852,1.11072,0.758,0.51754,0.58411,0.3856,1.85803,2.2671,1.98939,0.000297232,0.000297232,0.000297232
82,2788.13,0.78238,0.81849,1.11102,0.75279,0.48421,0.54101,0.37792,1.77202,2.20586,1.92143,0.000283085,0.000283085,0.000283085
83,2819.71,0.8167,0.86993,1.1572,0.82309,0.48421,0.54243,0.39139,1.72681,2.14846,1.88043,0.000268938,0.000268938,0.000268938
84,2851.5,0.79982,0.83302,1.12723,0.81884,0.51611,0.5465,0.39913,1.77228,2.14036,1.89608,0.000254791,0.000254791,0.000254791
85,2885.45,0.7925,0.83565,1.13219,0.89773,0.55088,0.58724,0.42225,1.87348,2.15321,1.97378,0.000240644,0.000240644,0.000240644
86,2918.27,0.76634,0.80818,1.0929,0.90843,0.55088,0.58967,0.42713,1.91624,2.1425,2.01733,0.000226497,0.000226497,0.000226497
87,2950.87,0.77214,0.80381,1.10941,0.92206,0.54947,0.60447,0.43826,1.88085,2.1098,1.99736,0.000212349,0.000212349,0.000212349
88,2983.18,0.76864,0.79963,1.12452,0.85605,0.51754,0.56007,0.43621,1.93259,2.08305,2.05281,0.000198202,0.000198202,0.000198202
89,3015.79,0.78799,0.80966,1.13256,0.85109,0.51384,0.56606,0.43887,1.95336,2.07196,2.06628,0.000184055,0.000184055,0.000184055
90,3048.29,0.7839,0.81839,1.1258,0.92389,0.53934,0.5976,0.43471,1.99002,2.04148,2.1071,0.000169908,0.000169908,0.000169908
91,3082.22,0.69526,0.82756,1.06763,0.9148,0.54168,0.60441,0.42947,1.96001,2.04872,2.06149,0.000155761,0.000155761,0.000155761
92,3114.07,0.68429,0.79352,1.08057,0.88416,0.54393,0.59991,0.42446,1.96958,2.07533,2.04492,0.000141614,0.000141614,0.000141614
93,3146,0.66268,0.73533,1.05612,0.8458,0.54305,0.59855,0.42334,2.0099,2.11539,2.05549,0.000127467,0.000127467,0.000127467
94,3178.14,0.67138,0.76457,1.0527,0.82193,0.54512,0.59755,0.42299,1.97146,2.09543,2.03318,0.00011332,0.00011332,0.00011332
95,3209.86,0.66653,0.75033,1.06225,0.77393,0.51437,0.56042,0.41818,2.02413,2.07095,2.08599,9.91726e-05,9.91726e-05,9.91726e-05
96,3242.06,0.61206,0.70418,1.00916,0.77135,0.51521,0.56345,0.42041,1.99731,2.05196,2.08107,8.50255e-05,8.50255e-05,8.50255e-05
97,3274.91,0.64022,0.71396,1.05051,0.7935,0.51616,0.55764,0.41846,1.99951,2.03596,2.09876,7.08784e-05,7.08784e-05,7.08784e-05
98,3305.34,0.6258,0.71143,1.0303,0.81356,0.51754,0.54874,0.41999,1.96901,2.02071,2.08136,5.67313e-05,5.67313e-05,5.67313e-05
99,3336.09,0.63442,0.7028,1.04618,0.84065,0.51754,0.54936,0.41946,1.88634,2.00681,2.01713,4.25842e-05,4.25842e-05,4.25842e-05
100,3367.19,0.63124,0.71826,1.03961,0.91009,0.54442,0.60351,0.42416,1.83842,2.00184,1.98305,2.84371e-05,2.84371e-05,2.84371e-05
